step,type,amount,sender_account_no,sender_balance_before,sender_balance_after,receiver_account_no,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud,device_id,ip_address,geolocation_lat,geolocation_long,auth_method,row_source
43,TRANSFER,113785.81,C1073716090,178454.26,64668.45,C3390862143,0.0,0.0,0,0,bc45144a-3c1f-dff0-331d-58bbbcb3636d,52.214.64.215,12.193388,109.17432,SMS_OTP,synthetic_activity
44,CASH_OUT,395692.17,C1982916145,90526.0,0.0,C2114779620,0.0,395692.17,0,0,cfd835fc-469f-f562-8052-0405fa84bb5f,228.209.254.8,20.846612,106.656863,SMART_OTP,paysim
44,CASH_OUT,325586.0,C1542667322,822509.46,496923.46,C546267706,1229834.09,1555420.08,0,0,13ed280a-d5e1-4d1f-e5f2-2dfba741104b,210.223.89.125,18.676925,105.632016,FACE_ID,paysim
44,CASH_OUT,187474.02,C1411005034,3095.0,0.0,C1810730392,1414080.59,1601554.62,0,0,a82cae18-6491-982b-e5ad-481d577f4c16,23.187.98.134,20.863138,106.716232,SMS_OTP,paysim
44,CASH_IN,26749.2,C34607484,1342972.21,1369721.41,C1206406362,172659.96,145910.77,0,0,3664cafa-0f6d-a751-7e9e-7b8af8c59ac6,56.120.210.99,20.80655,106.640544,SMS_OTP,paysim
44,PAYMENT,4109.09,C292149665,34299.0,30189.91,M617846485,0.0,0.0,0,0,e60d7a94-b483-d162-b043-a39a4f1a84cb,250.198.38.168,12.264021,109.214635,FACE_ID,paysim
44,PAYMENT,30032.22,C1863822995,0.0,0.0,M307966127,0.0,0.0,0,0,b82d40de-f2d7-8d53-8870-2ae78eadda9a,48.82.215.226,16.033269,108.200292,SMART_OTP,paysim
45,TRANSFER,14999.05,C992563138,0.0,0.0,C408493660,348649.98,363649.03,0,0,6947cbac-f610-f40d-69fe-890ff90fb6e4,200.49.28.34,10.035771,105.768352,FACE_ID,paysim
45,PAYMENT,18113.43,C328517963,169493.33,151379.9,M141917983,0.0,0.0,0,0,98ab182c-3b1d-0181-9cc3-c1f59129bc75,225.28.191.29,16.015867,108.253292,SMS_OTP,paysim
45,CASH_IN,109582.42,C1760438154,12158.0,121740.42,C1034924993,246062.08,136479.67,0,0,5a19d7ab-73e0-467e-87e8-1b25a9715404,237.70.244.106,20.826531,106.653448,SMART_OTP,paysim
45,TRANSFER,1545597.14,C591446839,1923073.39,377476.25,C1206406362,915493.33,551805.79,0,0,b30672dc-1fef-4fb0-de25-65fed1ad5c22,70.95.26.13,10.840835,106.65784,SMART_OTP,synthetic_activity
45,CASH_OUT,90310.42,C1694745551,158489.29,68178.87,C2013185673,775614.99,775614.99,0,0,27035b27-958c-2936-b186-78ce4e40bfba,145.146.94.207,21.027234,105.796028,SMART_OTP,synthetic_activity
46,PAYMENT,3930.04,C534370699,13557.93,9627.88,M302063414,0.0,0.0,0,0,c1fda581-33ec-e6b1-fcfd-8547abdce0da,126.177.84.222,11.987407,108.467028,SMS_OTP,paysim
46,CASH_OUT,187967.04,C171930569,104.0,0.0,C864382899,1797527.99,1985495.03,0,0,eb91731a-1eb0-5b4a-1b4f-fd5fc7688339,174.245.170.127,21.015029,105.756157,FACE_ID,paysim
48,CASH_OUT,11492.32,C1753190063,41536.58,30044.26,C592056924,2383997.62,2395489.94,0,0,2b2bf58c-6da5-8dad-f56a-abc050fb35b0,46.182.198.118,20.860428,106.712702,SMS_OTP,synthetic_activity
51,CASH_OUT,12948.22,C6509135706,21580.37,8632.15,C2226064412,144040.55,159780.7,0,0,b3521505-e864-6e0c-80d4-58b92f615360,134.28.116.117,21.070308,105.826552,SMS_OTP,synthetic_activity
